Benin,,Cotonou,Dichotel,http://www.hostelbookers.com/hotels/benin/cotonou/8436/
Burkina Faso,,Ouagadougou,Amiso Hotel,http://www.hostelbookers.com/hotels/burkina-faso/ouagadougou/70615/
Burkina Faso,,Ouagadougou,Ran Hotel Somketa,http://www.hostelbookers.com/hotels/burkina-faso/ouagadougou/49177/
Cape Verde,,Santo Antao,Apartamentos Ferreira,http://www.hostelbookers.com/hostels/cape-verde/santo-antao/88296/
Egypt,,Alexandria,Hotel Queen Transit Alexandria,http://www.hostelbookers.com/hotels/egypt/alexandria/75961/
Egypt,,Alexandria,Hotel Transit Alexandria,http://www.hostelbookers.com/hotels/egypt/alexandria/67556/
Egypt,,Aswan,El Salam Hotel,http://www.hostelbookers.com/hotels/egypt/aswan/65138/
Egypt,,Aswan,Nile Hotel - Aswan,http://www.hostelbookers.com/hotels/egypt/aswan/30364/
Egypt,,Aswan,Guesthouse Bet el Kerem,http://www.hostelbookers.com/hostels/egypt/aswan/55326/
Egypt,,Aswan,Queen Nourhan hotel,http://www.hostelbookers.com/hotels/egypt/aswan/65016/
Egypt,,Aswan,Memnon Hotel,http://www.hostelbookers.com/hotels/egypt/aswan/16232/
Egypt,,Aswan,Sara Hotel,http://www.hostelbookers.com/hotels/egypt/aswan/25103/
Egypt,,Cairo,family palace hostel,http://www.hostelbookers.com/hostels/egypt/cairo/99437/
Egypt,,Cairo,Milano Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/66065/
Egypt,,Cairo,Classic Plaza Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/62811/
Egypt,,Cairo,City Plaza Hotel,http://www.hostelbookers.com/hostels/egypt/cairo/47773/
Egypt,,Cairo,Alexander Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/43474/
Egypt,,Cairo,Travelers House,http://www.hostelbookers.com/hostels/egypt/cairo/59443/
Egypt,,Cairo,Hola Cairo,http://www.hostelbookers.com/hostels/egypt/cairo/61252/
Egypt,,Cairo,Cairo Stars Hotel,http://www.hostelbookers.com/hostels/egypt/cairo/47592/
Egypt,,Cairo,Nubian Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/33404/
Egypt,,Cairo,Pharaohs Palace Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/31563/
Egypt,,Cairo,New Palace Hotel,http://www.hostelbookers.com/hostels/egypt/cairo/6890/
Egypt,,Cairo,Jamaica Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/59641/
Egypt,,Cairo,Sara Inn Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/6982/
Egypt,,Cairo,Luna Hotel and Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/10141/
Egypt,,Cairo,Meramees Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/7213/
Egypt,,Cairo,Jasmine Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/51714/
Egypt,,Cairo,Bedouin Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/37020/
Egypt,,Cairo,Venus Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/47764/
Egypt,,Cairo,Wake Up! Cairo Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/31398/
Egypt,,Cairo,Friends Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/100803/
Egypt,,Cairo,Dina's hostel,http://www.hostelbookers.com/hostels/egypt/cairo/56290/
Egypt,,Cairo,The Australian Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/28379/
Egypt,,Cairo,Miami Cairo Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/67619/
Egypt,,Cairo,RamsesII Hotel,http://www.hostelbookers.com/hostels/egypt/cairo/29174/
Egypt,,Cairo,Hostel Brothers,http://www.hostelbookers.com/hostels/egypt/cairo/32688/
Egypt,,Cairo,Arabian Nights hotel,http://www.hostelbookers.com/hotels/egypt/cairo/47198/
Egypt,,Cairo,Mesho Inn hostel,http://www.hostelbookers.com/hostels/egypt/cairo/66558/
Egypt,,Cairo,Each Way Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/37513/
Egypt,,Cairo,Aussie Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/83025/
Egypt,,Cairo,Rotana Palace Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/17733/
Egypt,,Cairo,Invitation Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/6909/
Egypt,,Cairo,Cairo City Center Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/55674/
Egypt,,Cairo,King Tut Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/18527/
Egypt,,Cairo,Arabesque Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/6965/
Egypt,,Cairo,One Season Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/101949/
Egypt,,Cairo,Cairo Paradise Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/57974/
Egypt,,Cairo,Bella Luna,http://www.hostelbookers.com/hostels/egypt/cairo/56778/
Egypt,,Cairo,Lialy Inn,http://www.hostelbookers.com/hostels/egypt/cairo/6964/
Egypt,,Cairo,Freedom Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/74178/
Egypt,,Cairo,Qabana Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/57115/
Egypt,,Cairo,Regent house hostel,http://www.hostelbookers.com/hostels/egypt/cairo/38787/
Egypt,,Cairo,Select Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/7045/
Egypt,,Cairo,Isis Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/54750/
Egypt,,Cairo,Tiba Midtown Hostel,http://www.hostelbookers.com/hostels/egypt/cairo/85806/
Egypt,,Cairo,American House,http://www.hostelbookers.com/hostels/egypt/cairo/53752/
Egypt,,Cairo,Egyptian Night Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/54703/
Egypt,,Cairo,Cecilia Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/47774/
Egypt,,Cairo,Lady Diana Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/92523/
Egypt,,Cairo,Garden View Hotel,http://www.hostelbookers.com/hostels/egypt/cairo/63556/
Egypt,,Cairo,Sun Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/61872/
Egypt,,Cairo,Cairo Inn,http://www.hostelbookers.com/hotels/egypt/cairo/51835/
Egypt,,Cairo,May Fair Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/19290/
Egypt,,Cairo,Delta Pyramids Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/10258/
Egypt,,Cairo,Windsor Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/7102/
Egypt,,Cairo,Vienna Hotel,http://www.hostelbookers.com/hostels/egypt/cairo/45091/
Egypt,,Cairo,Cairo Down Town Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/58770/
Egypt,,Cairo,Cairo Moon,http://www.hostelbookers.com/hotels/egypt/cairo/60065/
Egypt,,Cairo,Cairo Kingdom,http://www.hostelbookers.com/hotels/egypt/cairo/95677/
Egypt,,Cairo,Indiana Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/7146/
Egypt,,Cairo,Hotel Grand Royal,http://www.hostelbookers.com/hotels/egypt/cairo/80273/
Egypt,,Cairo,Cairo Center,http://www.hostelbookers.com/hotels/egypt/cairo/42419/
Egypt,,Cairo,Gresham House Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/44542/
Egypt,,Cairo,El Tonsy Hotel,http://www.hostelbookers.com/hotels/egypt/cairo/68655/
Egypt,,Cairo,Blue bird hostel,http://www.hostelbookers.com/hostels/egypt/cairo/43091/
