Berat Backpackers Hostel;http://www.hostelworld.com/hosteldetails.php/Berat-Backpackers-Hostel/Berat/30936;["Gorica", "295", "Berat", "Albania"];86;245;24th Nov 2013;Voted Best Hostel In Albania 2012 from Hostelworld reviewers. We are the first and only authentic Backpackers hostel in Berat. The house is a UNESCO protected building with traditional features set in a beautiful location, in the historic Gorica quater of Berat. Come and relax and enjoy the unique atmosphere of the stylish house and chill out in the large garden with fruit trees. It's the perfect place to stay when visiting the beautiful city of Berat which has just been awarded UNESCO status.;;["BBQ", "Bicycle Parking", "Breakfast Included", "Common Room", "DVD's", "Free City Maps", "Free Internet Access", "Free WiFi", "Hot Showers", "Kitchen", "Linen Included", "Luggage Storage", "Meals available", "Outdoor Terrace", "Tea/Coffee Making Facilities"]
Nasho Vruho Hotel and Guesthouse;http://www.hostelworld.com/hosteldetails.php/Nasho-Vruho-Hotel-and-Guesthouse/Berat/61560;["Mangalem Quarter", "Xhymyrteka Street", "Berat", "Albania"];86;29;9th Dec 2013;Every room has a balcony that oversees the city of Berat. All the rooms are equipped with a fire place and an air conditioner. They have big windows overlooking the gardens and are arranged in a traditional manner. We have single and double bed rooms as well as rooms with three beds. Some rooms are provided with facilities to allow for keeping animals. The bar area is old and features a fire place. Breakfast is traditional and all the products are cooked by the hotel staff. The hotel is one of the oldest hotel that was opened in 1994, after the introduction of the new market economy. Events are organized often during peak days. Bar is opened 24 hours and is a no smoking area. Special areas are provided for smokers. We have rooms that are provided with facilities for animals. Coffee in the hotel is free. The bar area is provided with computers and internet. Please note: Cancellation Policy: 2 days before arrival Check In: any time Check Out: 11.00am Method of Payment upon arrival: Cash only! Tax is included. Breakfast is included.;Please note: Cancellation Policy: 2 days before arrival  Check In: any time Check Out: 11.00am  Method of Payment upon arrival: Cash only! Tax is included. Breakfast is included.;["24 Hour Reception", "24 Hour Security", "Air Conditioning", "Bar", "Bicycle Parking", "Book Exchange", "Breakfast Included", "Cable TV", "Café", "Free Internet Access", "Free WiFi", "Hot Tub", "Housekeeping", "Internet Access", "Kitchen", "Laundry Facilities", "Luggage Storage", "Meals available", "Minibar", "Outdoor Terrace", "Restaurant", "Tea/Coffee Making Facilities", "Towels Included", "Wheelchair Accessible"]
Lorenc Guesthouse & Hostel;http://www.hostelworld.com/hosteldetails.php/Lorenc-Guesthouse-and-Hostel/Berat/50037;["Stiliano Bandill Lagja", "Gorica entrance nr.18", "Berat", "Albania"];84;41;17th Mar 2014;Lorenc GuestHouse Hostel is a family run guest house offering a choice of either twin bedrooms with private facilities or a triple bedroom with private facilities - or a combination of the bedrooms sleeping a total of 10 persons with shared facilities (wc and shower room with hot water). The traditional Berati house is one of the oldest houses in Gorica and was built in the 17th century. Still retaining many of the authentic original architectural features which are typical of that period, the house is attractive and comfortable with beautiful views of the city. Air conditioning is not required in this 340 year old house which is light and airy and has thick stone walls to keep you cool in summer and warm in winter. At the rear of the property is the garden and vineyard where you can sit and enjoy some home made specialities such as cherry jam, or genuine distilled Raki as well as a 'kafe turke'. Here you can take your breakfast which is on offer at the Guest House. The friendly family welcome visitors to their home and will treat you as a family visitor rather than a tourist. Please Note: Cash only accepted as payment upon arrival Please infrom us about your arrival time after booking;;["24 Hour Reception", "Bar", "Breakfast Included", "Luggage Storage"]
Guesthouse Kris;http://www.hostelworld.com/hosteldetails.php/Guesthouse-Kris/Berat/52067;["Castle of Berat", "Berat", "Albania"];94;5;5th Mar 2014;The Guest- House ‘’KRIS’’ is located in the beautiful, antique, the only one habited: 'Castle of Berat'. We offer: Bar, parking, Internet, Wireless, TV and Breakfast included. The Guest- House ‘’KRIS’’ includes 3 rooms: two matrimonial room and one room with 4 beds. Please note: Cancellation Policy: 3 days before the arrival Check in: 24 hours – please contact us! Check out: 11.00 am Method of Payment upon the arrival: Cash Only! Breakfast is included. Taxes are included.;Please note:  Cancellation Policy: 3 days before the arrival  Check in: 24 hours – please contact us! Check out: 11.00 am  Method of Payment upon the arrival: Cash Only!  Breakfast is included. Taxes are included.;["24 Hour Reception", "24 Hour Security", "Air Conditioning", "Bar", "Bicycle Parking", "Board games", "Book Exchange", "Breakfast Included", "Cable TV", "Café", "Free Internet Access", "Free Parking", "Free WiFi", "Hairdryers", "Hot Tub", "Housekeeping", "Internet Access", "Laundry Facilities", "Lounge", "Outdoor Terrace", "Parking", "Towels Included", "Wheelchair Accessible", "Child Friendly", "Credit Cards Not Accepted", "Non Smoking", "Pet Friendly", "Taxes Included"]
Castle Park - Hotel & Tourism Complex;http://www.hostelworld.com/hosteldetails.php/Castle-Park-Hotel-and-Tourism-Complex/Berat/12722;["Rruga Berat-Permet", "Berat", "Albania"];0;8;;Our cottages, restaurant, and hotel complex are situated high above the historic city of Berat on a scenic overlook, on the south side embankment of the Osumi River. The 4 cottages and matrimonial suite face east and offer stunning views of the region's trademarks, beautiful green rolling hills and the prominent Mt. Tomorri, a point of inspiration throughout the ages for our region. Included with these accommodations, the ground's complex also offers: conference room facilities, outdoor grill, bar & pizzeria, and gardens.  Our facility and staff can make arrangements for many other exciting activities in the surrounding environs, most notably white water rafting down the Osumi River through the Canyons of Corovode.;;["24 Hour Reception", "Air Conditioning", "Airport Transfers", "Bar", "Breakfast Included", "Café", "Currency Exchange", "Free Internet Access", "Free Parking", "Free WiFi", "Luggage Storage", "Nightclub", "Outdoor Terrace", "Parking", "Restaurant", "Tours/Travel Desk"]
Hotel Berati;http://www.hostelworld.com/hosteldetails.php/Hotel-Berati/Berat/54501;["L.28 Nentori", "Berat", "Albania"];0;0;;An old characteristic house is nicely transformed in a comfortable hotel. Inside, it has the old look of the house with its white walls, wooden roof and chimney. The hotel itself combines the old tradition of this historic city with the new and modern furniture, offering this way a comfortable place to relax. The hotel has 9 rooms in total, from which 5 are twins, 2 double and 2 rooms with four beds, suited for a family or group of four. Please note: We have a 72 hours cancellation policy Only cash payment on arrival Check In Time:14:00 Check Out Time:	11:00;;["24 Hour Reception", "Air Conditioning", "Breakfast Included", "Free Parking", "Internet Access", "Luggage Storage", "Restaurant"]
Himara Hostel;http://www.hostelworld.com/hosteldetails.php/Himara-Hostel/Himare/65848;["Spile", "Himare", "Albania"];86;23;30th Oct 2013;An old (but newly restored) family stone house within an easy five minute walk from Himara's city center and its nearest beach awaits you! A calm atmosphere for all ages is complemented by its garden and friendly owners.  Free internet is served all the time and don't be surprised if you are served some of the great mountain tea (a local specialty made with mint), some homemade jam, or perhaps raki to enliven your spirits. Not that they will really need a boost here! There are two dorms upstairs - four beds each, one of the bedrooms has it's own traditional fireplace. The rooms are cool and breezy throughout the day. The bathroom features a shower. The kitchen is on the ground floor of the stone house and is fully equipped with a fridge/freezer, electric kettle, coffee machine, toaster, tableware, silverware, pots, pans etc. everything for self-catering. An independent bedroom (double bed +1 bunk bed on demand) in the back of the house, with it's own bathroom and porch, sleeps up to 4 persons. Towels and bed linen are included. Our Garden: Freddo' coffees are served in our garden that features orange trees, pommengrate trees and our own small bamboo 'forest', hammocks and swings furnish this lovely garden. If you aren't in the garden you will probably be relaxing on one of the patios shaded by numerous grape vines. Smoking is allowed as long as ashtrays are used. There are two puppies and a cat in the property. Our hostel is ideal for families with children. All guest should maintain the outdoor environment clean. Property door locks at 12:00 at night and a key can be provided. Please note: Cancellation Policy: 1 day before arrival Check In: please inform us about your arrival time. Our doors close at Midnight! Check Out: 12.00 noon Method of Payment upon the arrival: Cash only! Taxes are included. Suitable for families, big garden, pet's allowed (there are two very friendly puppies in the property)! You can also place a tent in our garden. There are bicycles for rent.;Please note:  Cancellation Policy: 1 day before arrival  Check In: please inform us about your arrival time. Our doors close at Midnight! Check Out: 12.00 noon  Method of Payment upon the arrival: Cash only!  Taxes are included.   Suitable for families, big garden, pet's allowed (there are two very friendly puppies in the property)!  You can also place a tent in our garden.   There are bicycles for rent.;["24 Hour Reception", "Adaptors", "Bar", "BBQ", "Bicycle Hire", "Bicycle Parking", "Board games", "Cafe", "Common Room", "Free City Maps", "Free Parking", "Free WiFi", "Hairdryers", "Hot Showers", "Kitchen", "Laundry Facilities", "Linen Included", "Meeting Room", "Parking", "Reading Light", "Tea/Coffee Making Facilities", "Tours/Travel Desk", "Towels Included", "Washing machine", "Wheelchair Accessible", "Child Friendly", "Credit Cards Not Accepted", "Pet Friendly", "Taxes Included"]
Lake Ohrid Hostel;http://www.hostelworld.com/hosteldetails.php/Lake-Ohrid-Hostel/Pogradec/65847;["Rruga Drini Cake", "Pogradec", "Pogradec", "Albania"];98;18;9th Sep 2013;Pogradec is perfectly located on the stunning Lake Ohrid. Not far from the Border to Macedonia and in perfect distance for a day trip to Korca. Lots of activities are waiting to be done when you are going to visit us. Spend your time at the sandy beach to relax and swim in the lake or hire a boot. Walk the ancient streets of the old town and have a Pogradec dinner in a traditional restaurant. Visit the beautiful village of Drillon that is famous for it white swans hy not making a pilgrimage to Sveti Naum Monastery or a nice hike to the ruins of Pogradec castle on the mountain top from where you can enjoy the breathtaking view over Pogradec and the Ohrid Lake until Macedonia. If you just like to be lazy you can also sleep long take a free breakfast and stay at our Pool. Our hostel is a newly designed stylish building just 3 minutes walk from the bus stop and a stone throw away from the lake. We offer bright dorms with comfy beds and for every bed there is a locker available. We have WiFi and internet, breakfast is included and we provide all the tourist information you need to enjoy the town. The hostel is suitable for all ages as well as families and groups. Please contact us if you need any more information. If you have any special request please contact us by mail.;Please note:  Cancellation Policy: 1 day before arrival  Reception Hours: 8.00 am – 8.00 pm  Method of Payment upon the arrival: Cash only!  Breakfast is included. Taxes are included.  The hostel is suitable for all ages as well as families and groups. Please contact us if you need any more information.   If you have any special request please contact us by mail.;["Bicycle Parking", "Breakfast Included", "Common Room", "Free City Maps", "Free Internet Access", "Free Parking", "Free WiFi", "Hot Showers", "Kitchen", "Laundry Facilities", "Outdoor Swimming Pool", "Swimming Pool", "Tea/Coffee Making Facilities", "Washing machine", "Credit Cards Not Accepted", "Taxes Included"]
SR Backpackers;http://www.hostelworld.com/hosteldetails.php/SR-Backpackers/Saranda/39497;["Rruga Mithat Hoxha Nr10", "Lagja 4 Sarande", "Saranda", "Albania"];100;177;18th Mar 2014;Welcome to Saranda, one of Albania's most beautiful destinations. Saranda Backpackers has been in operation for over four years and is run by a local named Tomi, who is fluent in English, Italian, Greek, and Albanian. It is located on the second floor of a secure contemporary apartment building, located only 20 meters from Saranda's main beach. All of the rooms have big balconies overlooking the picturesque Ionian Sea. After a day out on the town, Saranda Backpackers Hostel offers many amenities that will help you to relax. Some of the hostel's benefits include hot showers, free internet, washing machine, and balconies with stunning views of the bay. You will have access to a full kitchen, where you can make your own lunch/dinner. The hostel is located right around the corner from the farmer's market and the town's super big air conditioned supermarket (Alfa). Don't worry about breakfast, it's included! Mornings begin with a continental breakfast with fresh tasty bread, homemade jam, organic coffee or tea, fresh boiled eggs, tasty tomatoes and watermelons from the farmers market. Or will you try out the typical Albanian breakfast with byrek? Tell us! We are at your disposal 24/7 and can give you an insider's view of Saranda and the history of Tomi's homeland. We can recommend cheap traditional restaurants as well as arrange tours, help navigate your next destination, and point out all of the nearby hot spots including: The Blue Eye, The Castle of Lekursi, the antic excavation of Butrint or the amazing beaches of Ksamil or Paskyra Beach south to Saranda! Walk around the corner and catch the city bus, it leaves every hour (from 7am to 6pm) and the bus stop is only 50 meters from the hostel.  Visit Butrint and stop in Ksamil on the way back and take a swim or paddle boat ride to the islands. Located just 50 meters from the port (ferry service to/from Corfu) and a quick walk from the central bus station, Saranda Backpackers Hostel is not only close to all the major transportation hubs, it's also a short walk to the promenade which is lined with bars, discos, and restaurants (be sure to try the famous mussels). As you stroll along the promenade, stop to have a coffee or a shot of raki, enjoy the sea view and live in the moment as the locals do. Last but not least, the main beach is in front of the hostel. Grab some homemade byrek (spinach pie) or a tasty treat from the corner bakery on your way. Soak up the sun, rent a paddle boat, or float the day away in the clear refreshing sea. We are here open for all your questions and try to help you with all your travel needs - day trips around Saranda and traveling around Albania too! You want to rent a bike or a car, just ask us! Our Hostel Events Albanian Culture night: Learn how to cook delicious local cuisine, afterward watch an Albanian film, learn some useful phrases and Albania's Communist past. Dinner in Town: Take a xhiro along the promenade, and see what Saranda has to offer. Many activities and beautiful people line the promenade in the evenings. Eat at one of several local pizza places for dinner and have time for drinks and ice cream. Beach BBQ Night: On nights when we have 8 or more guest, we can arrange a BBQ on the beach, with local food and local drinks. There is no better way to get to know your fellow guests and enjoy a beautiful Saranda night. Kebabs, Grilled Veggies, and even Mashed Potatoes cooked on the grill right on the beach in front of the hostel! After dinner you may even desire a moonlight swim! Saranda Walking Tours: Walk to Lekursi Castle and the Monastery of the Forty Saints, the namesake of our town, Saranda. Don't forget to bring some leke for a coffee and ice cream. You can sit and watch the sunset over the bay of Saranda. Blockbuster Night ( mostly in winter time) It starts with a homemade Albanian dinner. Then you may choose a movie from our collection to watch. Seafood Night: Take a trip to one of the best local seafood restaurants overlooking the Bay! *if you would like to request a particular event during your stay, we will do our best to accommodate you.;;[]
Tani's Bar & Guesthouse;http://www.hostelworld.com/hosteldetails.php/Tani-s-Bar-and-Guesthouse/Saranda/30679;["Ksamil", "100 m off the road to Butrint", "Saranda", "Albania"];87;40;4th Sep 2013;Tani`s is a friendly local bar and guesthouse with fluent English spoken in the seaside village of Ksamil, 20 min drive south of Saranda and two minutes walk from the beach and islands, great for snorkeling or simply swimming and sun bathing. It is within 30 minutes walk or a 10 min bus drive from the ruins of the ancient Roman and medieval Venetian City of Butrint.  The guest house consists of double private rooms, twin rooms and triple rooms. All rooms are air conditioned and have a refrigerator, private bathrooms with shower and most of them have balconies with a drying rack for laundry. Tani`s bar is famous for its draft (draugh) beer which consists of both local and imported brew. There is an assortment of bottled beers and soft drinks, which are very refreshing in Ksamil's hot weather. Moreover, our customers choose to indulge in cocktails such as Mojito, Margarita, Martini and so on, or long drinks such as Gin/Vodka & Tonic, Cuba Libre etc. which are offered at very reasonable prices. Part of the bar has been adjusted into an Internet cafe with a DSL connection. The Wi - Fi is offered for free.;;["Air Conditioning", "Bar", "Board games", "Breakfast Not Included", "Free Parking", "Free WiFi", "Hot Showers", "Internet Access", "Linen Included", "Parking", "Towels Included", "Credit Cards Not Accepted", "Taxes Included"]
