Berat Backpackers Hostel,http://www.hostelworld.com/hosteldetails.php/Berat-Backpackers-Hostel/Berat/30936,Basic Double Bed Private Shared Bathroom,17.65
Berat Backpackers Hostel,http://www.hostelworld.com/hosteldetails.php/Berat-Backpackers-Hostel/Berat/30936,Basic 4 Bed Private Shared Bathroom,17.65
Nasho Vruho Hotel and Guesthouse,http://www.hostelworld.com/hosteldetails.php/Nasho-Vruho-Hotel-and-Guesthouse/Berat/61560,Standard Single Private Ensuite,36.21
Nasho Vruho Hotel and Guesthouse,http://www.hostelworld.com/hosteldetails.php/Nasho-Vruho-Hotel-and-Guesthouse/Berat/61560,Standard Twin Private Ensuite,25.35
Nasho Vruho Hotel and Guesthouse,http://www.hostelworld.com/hosteldetails.php/Nasho-Vruho-Hotel-and-Guesthouse/Berat/61560,Standard Double Bed Private Ensuite,25.35
Nasho Vruho Hotel and Guesthouse,http://www.hostelworld.com/hosteldetails.php/Nasho-Vruho-Hotel-and-Guesthouse/Berat/61560,Standard 3 Bed Private Ensuite,21.73
Lorenc Guesthouse & Hostel,http://www.hostelworld.com/hosteldetails.php/Lorenc-Guesthouse-and-Hostel/Berat/50037,5 Bed Mixed Dorm,17.38
Guesthouse Kris,http://www.hostelworld.com/hosteldetails.php/Guesthouse-Kris/Berat/52067,Standard Double Bed Private Shared Bathroom,20.28
Guesthouse Kris,http://www.hostelworld.com/hosteldetails.php/Guesthouse-Kris/Berat/52067,Basic 4 Bed Mixed Dorm,21.73
Castle Park - Hotel & Tourism Complex,http://www.hostelworld.com/hosteldetails.php/Castle-Park-Hotel-and-Tourism-Complex/Berat/12722,Single Private Ensuite,43.45
Castle Park - Hotel & Tourism Complex,http://www.hostelworld.com/hosteldetails.php/Castle-Park-Hotel-and-Tourism-Complex/Berat/12722,Double Bed Private Ensuite,32.59
Hotel Berati,http://www.hostelworld.com/hosteldetails.php/Hotel-Berati/Berat/54501,Standard Twin Private Shared Bathroom,25.35
Hotel Berati,http://www.hostelworld.com/hosteldetails.php/Hotel-Berati/Berat/54501,Standard Double Bed Private Shared Bathroom,25.35
Hotel Berati,http://www.hostelworld.com/hosteldetails.php/Hotel-Berati/Berat/54501,Standard 4 Bed Private Shared Bathroom,21.73
Himara Hostel,http://www.hostelworld.com/hosteldetails.php/Himara-Hostel/Himare/65848,Deluxe Twin Private Ensuite,26.27
Himara Hostel,http://www.hostelworld.com/hosteldetails.php/Himara-Hostel/Himare/65848,Standard Twin Private Shared Bathroom,21.02
Himara Hostel,http://www.hostelworld.com/hosteldetails.php/Himara-Hostel/Himare/65848,Standard 4 Bed Mixed Dorm,18.91
Himara Hostel,http://www.hostelworld.com/hosteldetails.php/Himara-Hostel/Himare/65848,Basic 6 Bed Mixed Dorm,18.91
Himara Hostel,http://www.hostelworld.com/hosteldetails.php/Himara-Hostel/Himare/65848,Standard 6 Bed Mixed Dorm,18.91
